SL No.,TimeStamp,Duration,X,Y,Quadrant
1,704,120,313,170,Q7
2,963,758,277,204,Q7
3,1801,219,602,375,Q8
4,2040,180,646,394,Q8
5,2239,299,626,379,Q8
6,2638,139,456,688,Q4
7,2877,140,455,515,Q4
8,3037,100,470,495,Q4
9,3176,160,106,588,Q4
10,3655,160,274,232,Q7
11,3974,100,292,188,Q7
12,4094,120,261,198,Q7
13,4293,439,86,221,Q7
14,4751,578,277,209,Q7
15,5569,160,100,599,Q4
16,5748,259,104,622,Q4
17,6027,199,98,593,Q4
18,6247,498,90,585,Q4
19,6765,239,105,644,Q4
20,7024,279,97,647,Q4
21,7323,439,84,652,Q4
22,7782,219,88,627,Q4
23,8021,100,95,646,Q4
24,8360,140,681,598,Q5
25,8719,179,720,575,Q5
26,8918,279,739,639,Q5
27,9357,100,78,614,Q4
28,9477,219,71,577,Q4
29,9836,100,58,585,Q4
30,10274,279,107,593,Q4
31,10812,219,117,630,Q4
32,11052,180,114,624,Q4
33,11271,119,114,616,Q4
34,11510,140,116,611,Q4
35,12168,219,111,593,Q4
36,12527,199,81,578,Q4
37,12806,100,89,580,Q4
38,12926,160,88,591,Q4
39,13145,120,678,588,Q5
40,13344,299,717,565,Q5
41,13763,319,709,548,Q5
42,14202,219,689,555,Q5
43,14461,219,679,559,Q5
44,14700,279,725,572,Q5
45,15059,459,748,613,Q5
46,15637,259,742,658,Q5
47,16156,219,696,629,Q5
48,16495,140,736,619,Q5
49,16654,120,740,635,Q5
50,16794,140,779,647,Q5
51,16953,120,785,657,Q5
52,17551,180,774,714,Q5
53,17810,180,786,713,Q5
54,18090,479,773,719,Q5
55,18887,179,106,615,Q4
56,19087,100,114,613,Q4
57,19226,279,114,604,Q4
58,19585,439,797,725,Q5
59,20183,219,776,716,Q5
60,20422,279,793,725,Q5
61,20821,100,858,750,Q5
62,21220,160,154,576,Q4
63,21399,100,108,598,Q4
64,21519,199,116,594,Q4
65,21878,100,385,521,Q4
