Quadrant,Event,Total
Q1,LMouseButton,48
Q2,LMouseButton,55
Q3,LMouseButton,3
Q4,LMouseButton,194
Q5,LMouseButton,167
Q6,LMouseButton,10
Q7,LMouseButton,20
Q8,LMouseButton,47
