Quadrant,Event,Total
Q1,LMouseButton,26
Q2,LMouseButton,29
Q4,LMouseButton,63
Q5,LMouseButton,133
Q6,LMouseButton,15
Q7,LMouseButton,29
Q8,LMouseButton,46
Q9,LMouseButton,25
