Quadrant,Event,Total
Q1,LMouseButton,24
Q2,LMouseButton,41
Q4,LMouseButton,183
Q5,LMouseButton,173
Q6,LMouseButton,7
Q7,LMouseButton,32
Q8,LMouseButton,68
Q9,LMouseButton,22
