SL No.,TimeStamp,Duration,X,Y,Quadrant
1,2027,100,1005,60,Q8
2,7968,319,78,237,Q7
3,8526,100,246,207,Q7
4,9105,140,298,198,Q7
5,9962,140,909,1002,Q2
6,10480,159,507,559,Q4
7,11617,140,1012,986,Q2
8,12274,100,1046,997,Q2
9,13052,180,739,584,Q5
10,13650,120,90,592,Q4
11,13889,140,83,612,Q4
12,14707,160,58,485,Q4
13,17837,100,311,175,Q7
14,18635,100,79,201,Q7
15,18914,160,66,232,Q7
16,19233,179,64,230,Q7
17,19671,140,240,205,Q7
18,19891,100,62,202,Q7
19,20868,239,88,566,Q4
20,22124,140,90,542,Q4
21,22383,140,95,534,Q4
22,22981,239,85,590,Q4
23,23320,140,95,600,Q4
24,23818,100,185,158,Q7
25,25054,100,96,599,Q4
26,25453,100,74,573,Q4
27,25812,139,89,535,Q4
28,26011,120,83,517,Q4
29,26809,180,720,544,Q5
30,27208,180,934,974,Q2
31,28324,100,764,282,Q8
32,29142,159,700,518,Q5
33,30737,100,741,537,Q5
34,31135,159,95,512,Q4
35,31355,120,90,533,Q4
36,31614,179,98,547,Q4
37,32252,120,77,291,Q7
38,32491,179,185,299,Q7
39,34445,100,245,195,Q7
40,34844,239,243,237,Q7
41,35861,120,86,568,Q4
42,36000,179,82,594,Q4
43,36239,379,75,601,Q4
44,36638,100,37,594,Q4
45,37117,120,72,553,Q4
46,37814,160,68,209,Q7
47,39250,139,129,588,Q4
48,39788,100,754,573,Q5
49,40187,199,733,566,Q5
50,40426,239,727,564,Q5
51,40745,120,685,518,Q5
52,41044,219,705,543,Q5
53,41922,100,756,603,Q5
54,42041,359,744,623,Q5
55,42520,179,742,619,Q5
56,42719,140,747,630,Q5
57,42978,279,759,620,Q5
58,43796,120,298,188,Q7
59,44513,239,768,669,Q5
60,44972,120,727,687,Q5
61,46786,100,724,535,Q5
62,48262,120,82,232,Q7
63,49199,140,280,174,Q7
64,49358,120,244,173,Q7
65,49916,140,458,176,Q7
66,50176,159,464,172,Q7
67,50654,219,736,600,Q5
68,50953,100,712,569,Q5
69,51511,160,745,628,Q5
70,52149,279,748,616,Q5
71,52488,159,753,615,Q5
72,52668,120,744,617,Q5
73,52847,120,744,632,Q5
74,53186,140,740,597,Q5
75,53505,120,743,638,Q5
76,53685,239,746,613,Q5
77,54203,120,746,587,Q5
78,54343,140,755,570,Q5
79,54941,160,125,594,Q4
80,55240,100,104,570,Q4
81,55658,100,94,558,Q4
82,56595,200,115,574,Q4
83,57672,120,762,575,Q5
84,59327,100,773,595,Q5
85,59447,120,772,601,Q5
86,60483,140,756,583,Q5
87,60663,100,751,576,Q5
88,60782,120,773,610,Q5
89,61241,159,727,602,Q5
90,61919,100,793,625,Q5
91,62377,180,790,669,Q5
92,62637,299,774,697,Q5
93,63015,100,785,715,Q5
94,63713,120,838,698,Q5
95,64411,179,1132,722,Q6
96,64610,120,1102,815,Q3
97,64929,120,1083,890,Q3
98,65069,120,1109,887,Q3
99,65408,279,1102,875,Q3
100,65707,120,1107,887,Q3
101,65966,120,783,668,Q5
102,66205,100,767,677,Q5
103,66405,179,767,696,Q5
104,67860,259,788,683,Q5
105,68299,120,823,675,Q5
106,68697,239,860,679,Q5
107,68997,120,855,695,Q5
108,69296,219,832,694,Q5
109,69894,100,706,298,Q8
110,71389,100,117,567,Q4
111,72047,159,107,572,Q4
112,72246,120,525,495,Q4
113,73323,139,797,681,Q5
114,74380,120,103,567,Q4
115,74519,140,104,567,Q4
116,75217,100,121,539,Q4
117,75516,100,98,554,Q4
118,76134,100,120,577,Q4
119,76294,140,112,588,Q4
120,77091,179,758,622,Q5
121,77988,120,780,653,Q5
122,78327,359,830,689,Q5
123,78886,179,455,198,Q7
124,79185,100,460,178,Q7
125,79304,100,448,193,Q7
126,80002,160,482,155,Q7
127,80501,120,425,182,Q7
128,81398,100,585,195,Q8
129,82135,239,607,201,Q8
130,82395,160,612,179,Q8
131,82574,120,606,202,Q8
132,83172,120,513,195,Q7
133,83372,179,502,214,Q7
134,83591,120,505,211,Q7
135,83930,120,506,202,Q7
136,84408,100,246,186,Q7
137,84588,100,506,240,Q7
138,85445,100,506,189,Q7
