Quadrant,Event,Total
Q1,LMouseButton,33
Q2,LMouseButton,102
Q3,LMouseButton,4
Q4,LMouseButton,268
Q5,LMouseButton,435
Q6,LMouseButton,42
Q7,LMouseButton,46
Q8,LMouseButton,54
