SL No.,TimeStamp,Duration,X,Y,Quadrant
1,140,100,721,378,Q8
2,280,439,689,523,Q5
3,938,179,387,327,Q7
4,1137,219,229,214,Q7
5,1775,179,63,527,Q4
6,2094,279,629,496,Q5
7,2453,139,527,285,Q7
8,2653,179,322,186,Q7
9,2852,578,252,214,Q7
10,3450,279,67,189,Q7
11,3749,180,41,217,Q7
12,4048,120,112,480,Q4
13,4208,219,47,559,Q4
14,4646,219,85,216,Q7
15,4886,140,42,214,Q7
16,5085,140,393,195,Q7
17,5244,239,227,195,Q7
18,5504,259,271,195,Q7
19,5783,239,236,202,Q7
20,6042,339,63,195,Q7
21,6640,219,69,536,Q4
22,6879,239,74,541,Q4
23,7278,538,75,589,Q4
24,7856,160,69,589,Q4
25,8135,120,79,593,Q4
26,8335,199,30,604,Q4
27,8554,159,27,604,Q4
28,8773,738,68,614,Q4
29,9531,479,101,622,Q4
30,10029,179,49,595,Q4
31,10388,120,56,601,Q4
32,10548,100,68,632,Q4
33,10667,259,27,611,Q4
34,10947,160,66,613,Q4
35,11186,120,62,623,Q4
36,11545,120,63,623,Q4
37,11724,159,59,610,Q4
38,11904,100,21,616,Q4
39,12023,140,16,609,Q4
40,12242,219,63,634,Q4
41,12542,120,28,608,Q4
42,12781,179,29,618,Q4
43,13000,160,32,616,Q4
44,13399,120,37,547,Q4
45,13539,219,72,546,Q4
46,13798,160,52,527,Q4
47,14097,618,70,538,Q4
48,14775,239,35,553,Q4
49,15034,1017,95,558,Q4
50,16210,937,88,580,Q4
51,17267,219,493,722,Q4
52,17566,219,105,599,Q4
53,17965,179,748,537,Q5
54,18164,279,681,524,Q5
55,18463,299,710,518,Q5
56,18862,219,68,528,Q4
57,19101,199,79,548,Q4
58,19380,120,651,540,Q5
59,19520,219,691,540,Q5
60,19819,319,702,537,Q5
61,20158,199,717,543,Q5
62,20457,120,685,557,Q5
63,20596,259,717,555,Q5
64,20875,160,712,551,Q5
65,21194,199,664,522,Q5
66,21454,638,732,525,Q5
67,22112,219,727,585,Q5
68,22351,538,734,582,Q5
69,23408,219,718,549,Q5
70,23806,140,95,582,Q4
71,24006,140,77,557,Q4
72,24305,100,769,617,Q5
73,24504,180,722,599,Q5
74,24703,439,699,583,Q5
75,25162,379,736,575,Q5
76,25760,219,751,640,Q5
77,25999,100,745,655,Q5
78,26139,339,748,726,Q5
79,26697,120,709,565,Q5
80,26857,239,728,641,Q5
81,27156,239,717,607,Q5
82,27415,160,692,615,Q5
83,27614,160,689,604,Q5
84,27794,279,687,615,Q5
85,28093,140,755,619,Q5
86,28252,140,753,625,Q5
87,28691,179,701,552,Q5
88,28890,180,718,548,Q5
89,29090,299,719,537,Q5
90,29429,140,687,555,Q5
91,29608,279,772,556,Q5
92,29907,219,714,550,Q5
93,30146,120,739,553,Q5
94,30286,140,737,566,Q5
95,30445,219,750,568,Q5
