SL No.,TimeStamp,Duration,X,Y,Quadrant
1,172,120,721,344,Q8
2,491,100,709,360,Q8
3,790,100,680,432,Q5
4,930,140,679,439,Q5
5,1169,100,668,428,Q5
6,1628,219,569,1012,Q2
7,3063,100,163,301,Q7
8,3183,199,186,369,Q7
9,3462,279,389,333,Q7
10,3761,618,389,330,Q7
11,4419,259,392,342,Q7
12,4858,339,61,209,Q7
13,5217,120,50,201,Q7
14,5456,100,466,730,Q4
15,5576,259,526,744,Q4
16,6114,100,412,836,Q1
17,6253,259,399,850,Q1
18,6533,219,361,882,Q1
19,7011,339,57,191,Q7
20,7868,139,519,752,Q4
21,8028,279,493,741,Q4
22,8327,100,443,762,Q4
23,8446,160,439,748,Q4
24,8825,100,415,315,Q7
25,9045,219,413,341,Q7
26,9443,299,582,764,Q5
27,9822,140,596,429,Q5
28,10041,160,633,266,Q8
29,10221,1136,614,221,Q8
30,11756,259,589,239,Q8
31,12035,299,551,217,Q8
32,12434,100,457,778,Q4
33,12733,399,472,742,Q4
34,13331,439,948,677,Q5
35,13830,180,949,679,Q5
36,14129,179,643,367,Q8
37,14328,119,642,378,Q8
38,14767,100,492,497,Q4
39,14886,219,497,493,Q4
40,15146,219,406,487,Q4
41,15465,140,467,478,Q4
42,15724,279,505,482,Q4
43,16441,100,495,478,Q4
44,16641,120,506,471,Q4
45,16840,120,502,479,Q4
46,17339,160,570,477,Q5
47,17618,100,484,520,Q4
48,18355,239,549,503,Q5
49,20868,100,701,498,Q5
50,21246,100,689,479,Q5
51,21825,120,462,477,Q4
52,22263,100,438,403,Q4
53,22403,100,443,403,Q4
54,22642,199,447,396,Q7
55,22861,100,459,397,Q7
56,23041,100,434,400,Q4
57,23180,100,430,405,Q4
58,23300,100,495,427,Q4
59,23798,100,430,467,Q4
60,23938,100,458,403,Q4
61,24058,199,472,387,Q7
62,24317,219,467,386,Q7
63,24656,279,468,397,Q7
64,24955,120,467,402,Q4
65,25094,100,472,400,Q4
66,25214,219,466,400,Q4
67,25712,139,555,335,Q8
68,25952,179,606,331,Q8
69,26211,140,361,411,Q4
70,26510,100,391,423,Q4
71,26689,140,477,400,Q4
72,27028,160,601,430,Q5
73,27487,120,579,435,Q5
74,28185,120,502,519,Q4
75,28763,140,470,498,Q4
76,29042,140,465,445,Q4
77,29201,140,489,402,Q4
78,29520,120,425,496,Q4
79,29700,179,439,488,Q4
80,29899,100,525,466,Q4
81,30059,140,525,475,Q4
82,30218,219,535,463,Q5
83,30577,119,484,479,Q4
84,30737,120,635,435,Q5
85,30916,219,587,442,Q5
86,31295,100,467,500,Q4
87,31454,120,497,513,Q4
88,31614,239,517,527,Q4
89,32152,120,497,382,Q7
90,32451,159,376,416,Q4
91,33049,100,1201,-41,Q9
92,33189,438,1247,55,Q9
93,34365,160,586,272,Q8
94,34684,219,876,295,Q8
95,34943,299,1043,290,Q8
96,35322,179,1101,831,Q3
97,35522,219,1107,799,Q6
98,35920,339,1111,886,Q3
99,36459,359,1098,809,Q3
100,36837,100,1077,787,Q6
101,37535,219,106,156,Q7
102,37894,160,250,176,Q7
103,38074,279,279,189,Q7
104,38472,120,909,700,Q5
105,38692,100,950,697,Q5
106,38911,937,943,766,Q5
107,39928,120,929,652,Q5
108,40167,439,934,684,Q5
109,40626,219,987,676,Q5
110,40865,140,1016,691,Q5
111,41024,379,1021,681,Q5
112,41463,279,973,764,Q5
113,41762,538,971,687,Q5
114,42320,359,969,690,Q5
115,42699,279,980,650,Q5
116,42998,439,948,618,Q5
117,43576,160,897,689,Q5
118,43856,219,913,732,Q5
119,44194,578,1035,745,Q5
120,44793,179,1016,755,Q5
121,45291,179,116,191,Q7
122,45550,100,329,190,Q7
123,45670,479,277,186,Q7
124,46726,140,1022,765,Q5
125,46886,199,1018,762,Q5
126,47365,179,290,589,Q4
127,47604,239,282,209,Q7
128,47903,339,71,186,Q7
129,48361,379,1010,728,Q5
130,48760,239,1035,736,Q5
131,49019,239,925,675,Q5
132,49278,459,935,672,Q5
133,49777,219,1015,733,Q5
134,50076,299,1008,761,Q5
135,50415,518,988,706,Q5
136,51053,718,1011,752,Q5
137,52070,120,875,655,Q5
138,52309,259,407,727,Q4
139,52748,199,390,245,Q7
140,52987,399,245,201,Q7
141,53545,199,306,194,Q7
142,53844,120,399,627,Q4
143,54044,100,415,745,Q4
144,54343,160,1022,754,Q5
145,54542,259,1020,745,Q5
146,54921,139,1040,733,Q5
147,55120,359,952,690,Q5
148,55698,140,992,659,Q5
149,55878,379,998,762,Q5
150,56297,179,1002,752,Q5
151,56954,180,973,676,Q5
152,57154,279,1008,671,Q5
153,57453,498,929,733,Q5
154,57971,259,983,764,Q5
155,58270,160,1015,663,Q5
156,58589,139,1023,761,Q5
157,58848,219,1045,758,Q5
158,59367,239,998,742,Q5
159,59845,120,1004,756,Q5
160,60085,219,980,684,Q5
161,60344,658,1008,674,Q5
162,61321,139,440,689,Q4
163,61480,259,410,727,Q4
164,61759,239,409,716,Q4
165,62078,319,450,707,Q4
166,62437,817,518,689,Q4
167,63574,100,508,694,Q4
168,63873,100,605,644,Q5
169,64052,199,576,641,Q5
170,64351,180,989,737,Q5
171,64551,399,1035,753,Q5
172,65009,140,925,759,Q5
173,65348,239,550,744,Q5
174,65647,199,533,685,Q6
175,65866,399,601,728,Q5
176,66285,179,627,724,Q5
177,66544,140,461,765,Q4
178,66744,179,419,728,Q4
179,66983,199,610,732,Q5
180,67202,239,632,727,Q5
181,67461,459,607,726,Q5
182,68040,179,504,997,Q1
183,68718,100,604,719,Q5
184,68837,139,580,715,Q5
185,68997,339,528,719,Q4
186,69355,180,502,720,Q4
187,69814,160,985,744,Q5
188,69993,180,1042,738,Q5
189,70312,160,1063,733,Q5
190,70751,140,397,782,Q4
191,71070,199,436,785,Q4
192,71289,219,394,752,Q4
193,71748,179,234,166,Q7
194,71947,219,303,174,Q7
195,72187,797,358,188,Q7
196,73024,538,498,203,Q7
197,73582,100,497,200,Q7
198,73722,140,519,202,Q7
199,73881,120,705,204,Q8
200,74200,957,664,196,Q8
201,75177,439,551,249,Q8
202,75696,319,255,213,Q7
203,76074,140,559,197,Q8
204,76234,140,488,204,Q7
205,76433,179,747,228,Q8
206,76633,199,701,257,Q8
207,76932,199,233,234,Q7
208,77151,120,266,218,Q7
209,77331,379,39,214,Q7
210,77729,140,91,214,Q7
211,77929,139,300,216,Q7
212,78427,239,107,189,Q7
213,78686,219,72,195,Q7
214,79145,160,427,710,Q4
215,79364,100,505,721,Q4
216,79643,120,494,612,Q4
217,80580,100,439,730,Q4
218,80700,100,452,692,Q4
219,81019,159,518,701,Q4
220,81238,219,449,719,Q4
221,81517,199,405,732,Q4
222,81737,120,408,733,Q4
223,82295,159,408,787,Q4
224,82514,140,400,789,Q4
225,83292,120,420,660,Q4
226,83930,199,484,703,Q4
227,84229,100,574,706,Q5
228,84847,159,380,759,Q4
229,85066,100,401,776,Q4
230,85186,120,394,796,Q4
231,86083,120,315,825,Q1
232,86263,100,524,814,Q1
233,86442,199,501,823,Q1
234,86861,100,439,677,Q4
235,87020,100,494,585,Q4
236,87140,180,502,560,Q4
237,87339,120,450,700,Q4
238,87558,239,510,712,Q4
239,88256,120,320,725,Q4
240,88934,179,461,620,Q4
241,89173,180,400,668,Q4
242,89552,219,429,677,Q4
243,89792,140,356,688,Q4
244,89971,179,286,722,Q4
245,90230,140,308,729,Q4
246,90469,140,421,789,Q4
247,90968,100,330,723,Q4
248,91167,120,333,722,Q4
249,91506,120,253,815,Q1
250,91725,140,299,790,Q4
251,91885,179,381,659,Q4
252,92244,120,369,611,Q4
253,92383,120,365,615,Q4
