Quadrant,Event,Total
Q1,LMouseButton,7
Q2,LMouseButton,12
Q4,LMouseButton,113
Q5,LMouseButton,182
Q6,LMouseButton,1
Q7,LMouseButton,21
Q8,LMouseButton,37
Q9,LMouseButton,4
