SL No.,TimeStamp,Duration,X,Y,Quadrant
1,328,239,606,401,Q5
2,787,160,359,215,Q7
3,966,439,277,205,Q7
4,1424,200,501,190,Q7
5,1644,159,466,185,Q7
6,1843,159,167,171,Q7
7,2023,279,85,196,Q7
8,2561,140,651,496,Q5
9,3039,179,511,811,Q1
10,3259,279,501,879,Q1
11,3837,160,594,563,Q5
12,4016,100,602,448,Q5
13,4216,179,236,285,Q7
14,4814,179,484,838,Q1
15,5113,120,560,820,Q2
16,5312,199,427,864,Q1
17,5611,140,544,818,Q2
18,5771,239,638,914,Q2
19,6130,120,627,912,Q2
20,6269,120,628,913,Q2
21,6429,259,501,826,Q1
22,6708,179,477,796,Q4
23,7127,160,519,729,Q4
24,7645,180,1162,771,Q6
25,7844,239,1212,779,Q6
26,8622,120,1099,667,Q6
27,8821,159,1072,675,Q6
28,9300,379,1199,688,Q6
29,9699,379,1118,701,Q6
30,10097,977,1117,751,Q6
31,11114,120,1057,694,Q5
32,11712,219,1146,684,Q6
33,12011,299,1086,681,Q6
34,12589,100,1059,692,Q5
35,12809,399,1112,679,Q6
36,13227,140,1076,709,Q6
37,13387,100,1070,719,Q6
38,13507,199,1083,686,Q6
39,13766,618,1189,689,Q6
40,14404,558,1211,776,Q6
41,14982,758,1147,849,Q3
42,15760,219,1077,836,Q3
43,16059,299,1131,755,Q6
44,16378,459,1126,747,Q6
45,16996,140,1116,719,Q6
46,17155,179,1103,679,Q6
47,17355,199,1152,674,Q6
48,17594,259,1150,680,Q6
49,17873,259,1207,684,Q6
50,18152,120,1149,695,Q6
51,18391,180,1060,688,Q5
52,18630,499,1193,693,Q6
53,19149,339,1199,680,Q6
54,19588,140,1164,685,Q6
55,19847,180,1037,749,Q5
56,20046,180,1113,740,Q6
57,20345,698,1110,745,Q6
58,21063,299,1130,712,Q6
59,21442,179,937,508,Q5
60,21741,499,1100,747,Q6
61,22259,120,1082,750,Q6
62,22399,219,1081,743,Q6
63,22638,239,1094,735,Q6
64,22977,100,1059,704,Q5
65,23156,120,1047,708,Q5
66,23376,140,1045,700,Q5
67,23575,160,1025,716,Q5
68,23894,439,1032,713,Q5
69,24731,379,1025,726,Q5
70,25330,179,1097,635,Q6
71,25668,179,1065,632,Q5
72,26207,140,1043,690,Q5
73,26426,239,1046,685,Q5
74,26725,937,1020,716,Q5
75,27981,419,1126,686,Q6
76,28460,499,1110,681,Q6
77,28978,140,996,668,Q5
78,29317,100,995,660,Q5
79,29477,120,1033,661,Q5
80,29636,100,1046,643,Q5
81,29975,120,1045,653,Q5
