Quadrant,Event,Total
Q1,LMouseButton,12
Q2,LMouseButton,58
Q4,LMouseButton,291
Q5,LMouseButton,211
Q7,LMouseButton,12
Q8,LMouseButton,36
Q9,LMouseButton,1
